"","striker","adj_avg_bat_rd","adj_bat_rd","avg_bat_rd","total_bat_rd","balls","strike_rate","adj_exp","exp_avg","runs","dismissals","bat_average","adj_bat_avg","bowl_adj_bat_avg"
"14","SV Samson",0.149145901721812,35.1984328063475,0.139811617346242,32.9955416937131,236,153.389830508475,32.6918538634083,31.5311005422913,362,12,30.1666666666667,-0.043272637242539,-0.0772420923968468
"15","PD Salt",0.261911757228796,34.8342637114299,0.30743150169246,40.8883897250971,133,163.90977443609,28.0217897950611,30.533229040928,218,8,27.25,-0.107529702689717,-0.027542487496537
"16","Ishan Kishan",0.109075251476582,34.685929969553,0.0634366667738221,20.1728600340754,318,142.767295597484,38.0167456644525,35.8743796851079,454,15,30.2666666666667,-0.156315260853669,-0.203859611398368
"17","Tilak Varma",0.140819039965097,29.4311793527053,0.129799576494755,27.1281114874039,209,164.114832535885,30.5366891907621,30.1525296376096,343,8,42.875,0.421937081740617,0.404048740587454
"18","Rashid Khan",0.463248195647496,27.7948917388498,0.455327387521332,27.3196432512799,60,216.666666666667,29.252116598126,22.5815902862387,130,4,32.5,0.439225474735744,0.111030714340925
"19","C Green",0.0977171796805485,27.5562446699147,0.125250799827637,35.3207255513936,282,160.283687943262,41.2335094951766,34.5727313026455,452,9,50.2222222222222,0.452654167892696,0.217995335276934
"20","DP Conway",0.054760212621745,26.3396622710593,0.0830114479230408,39.9285064509826,481,139.70893970894,34.1534514669007,29.2216936255039,672,13,51.6923076923077,0.768970284706295,0.513531004103772
"21","JJ Roy",0.128215374289183,24.1044903663664,0.166523298371417,31.3063800938264,188,151.595744680851,35.4960246448417,33.0143344286166,285,8,35.625,0.0790767288381398,0.00363351548374093
"22","Abhishek Sharma",0.144303251213107,22.6556104404579,0.157580930913903,24.7402061534827,157,143.949044585987,29.9418217220821,30.1865614832569,226,11,20.5454545454545,-0.319384072384324,-0.313820824392183
"23","V Shankar",0.102480380892786,19.2663116078437,0.111329774739707,20.929997651065,188,160.106382978723,27.9664077058255,29.2627241441122,301,8,37.625,0.285765461024937,0.345364066624925
"24","RR Rossouw",0.13233224071359,18.6588459406161,0.105391570521704,14.8602114435602,141,148.22695035461,29.6765604759763,28.9861178338576,209,7,29.8571428571429,0.030049730297718,0.00608501720786453
"25","LS Livingstone",0.0981766745219026,16.7882113432453,0.0950077664927967,16.2463280702682,171,163.157894736842,34.4065544900672,32.5574782280174,279,8,34.875,0.0711824716813685,0.0136150078633426
"26","Dhruv Jurel",0.154889465314167,13.6302729476467,0.107361821445691,9.44784028722079,88,172.727272727273,21.677701584349,23.6448664998567,152,7,21.7142857142857,-0.0816490457065052,0.00168763878377075
"27","Q de Kock",0.122450640238541,12.4899653043312,0.0766865322276098,7.8220262872162,102,140.196078431373,31.5302717508952,31.5312956843194,143,4,35.75,0.133794194755485,0.133831014285025
"28","JM Sharma",0.0626386391296263,12.402450547666,0.0580356910928775,11.4910668363897,198,156.060606060606,31.9955735234241,30.535714242803,309,13,23.7692307692308,-0.221592441551192,-0.257108776255278
"29","MS Dhoni",0.177675406810776,10.1274981882142,0.214692405571126,12.2374671175542,57,182.456140350877,15.0588906297419,15.4781570033663,104,4,26,0.679786553033757,0.726554806676724
"30","N Wadhera",0.0550020702768933,9.13034366596428,0.03681743935863,6.11169493353257,166,145.180722891566,24.9566178854521,28.3218328708568,241,9,26.7777777777778,-0.0545181909701861,0.0729730246576122
"31","K Gowtham",0.161922363875658,5.99112746339933,0.282636226742084,10.4575403894571,37,164.864864864865,15.532831431037,18.7824856653275,61,4,15.25,-0.188073385401191,-0.0182086203853247
"32","Sikandar Raza",0.0559766973385388,5.4857163391768,0.0631705861017004,6.19071743796664,98,141.836734693878,24.5565668376116,24.5572510025787,139,5,27.8,0.132048534140927,0.132080073889671
"33","Umran Malik",0.664025099069348,5.31220079255479,0.712722431148204,5.70177944918563,8,237.5,12.381481101596,17.6810662681471,19,1,19,0.0745958253789813,0.53454985264653
"34","Akash Deep",0.656809531397273,5.25447625117818,0.489206554038317,3.91365243230653,8,212.5,20.5924438363597,23.3131196355033,17,1,17,-0.270796861776023,-0.174454468100409
"35","GD Phillips",0.221373394121862,4.87021467068096,0.203323444333087,4.47311577532791,22,177.272727272727,31.2437358241269,23.4899546892177,39,5,7.8,-0.667943165357388,-0.750349956743114
"36","DA Warner",0.00994391511236682,3.89801472404779,0.0265020275168963,10.3887947866234,392,131.632653061224,35.0584586567053,31.0592579802241,516,14,36.8571428571429,0.186671712524823,0.0513052846404459
"37","R Dhawan",0.18697069590437,2.24364835085245,0.0327725525941853,0.393270631130224,12,166.666666666667,20.9058316959804,24.8523501133486,20,2,10,-0.597623566608744,-0.521664569703642
"38","D Wiese",0.197355987169843,2.17091585886827,0.118721610863112,1.30593771949423,11,190.909090909091,17.7609755358547,18.9851985220812,21,1,21,0.10612485698137,0.182367486380834
"39","JC Buttler",0.00717203869234967,2.02251491124261,0.029782788895711,8.39874646859049,282,139.007092198582,37.4600281576922,32.5463387681868,392,14,28,-0.139688178156331,-0.252536600289492
"40","MA Wood",0.398712775155352,1.99356387577676,0.459933178687811,2.29966589343906,5,220,11.9634321884713,13.9939858708375,11,1,11,-0.213948041570968,-0.0805314205232603
"41","AT Rayudu",0.0146300508607396,1.65319574726357,-0.027780536316104,-3.13920060371975,113,139.823008849558,24.0812558697759,24.3626037752953,158,10,15.8,-0.35146505087351,-0.343888039500865
"42","TH David",0.0112145296696013,1.63732133176179,-0.0323156939827317,-4.71809132147883,146,158.219178082192,24.2962035531113,24.0332896447376,231,9,25.6666666666667,0.0679631064275351,0.0564064715114657
