"","bowler","adj_avg_bowl_rd","adj_bowl_rd","balls","avg_bowl_rd","total_bowl_rd","econ","bat_adj_bowl_avg","adj_bowl_avg","wickets","strike_rate","bowl_average"
"14","TA Boult",-0.136266598559337,-31.0687844715289,235,-0.0701160164640735,-15.9864517538088,8.21052631578947,-0.329663978701712,-0.286270281853918,13,127.659574468085,23.0769230769231
"15","Mohammed Shami",-0.0757425034064122,-29.5395763285008,403,-0.124410428623071,-48.5200671629975,8.03076923076923,-0.37947888894663,-0.384677999225628,28,124.813895781638,17.9642857142857
"16","KH Pandya",-0.117130294699582,-29.5168342642948,253,-0.0670978426622757,-16.9086563508935,7.45238095238095,-0.0114511693162201,0.178060629080882,9,123.320158102767,34.6666666666667
"17","RA Jadeja",-0.0827789442853376,-28.3103989455855,348,-0.0646897420222472,-22.1238917716086,7.56140350877193,-0.355071674293262,-0.253790008108787,20,120.689655172414,21
"18","Rashid Khan",-0.0672510380676588,-27.0349173031989,407,-0.11015762859954,-44.283366697015,8.23880597014925,-0.38581944236176,-0.370859315377288,27,134.398034398034,20.2592592592593
"19","K Kartikeya",-0.166141383819911,-25.9180558759062,163,-0.112588860342072,-17.5638622133632,8.73076923076923,0.113787442169663,0.280506531973038,5,134.355828220859,43.8
"20","MJ Santner",-0.357771430891916,-25.759543024218,72,-0.330102722906445,-23.7673960492641,6.75,-0.381288168120191,-0.212795762437389,3,112.5,27
"21","Sandeep Sharma",-0.0887007437834684,-24.4814052842373,290,-0.113925853748049,-31.4435356344615,8.60869565217391,-0.0372479692672913,0.157779256241958,10,131.724137931034,38.2
"22","NT Ellis",-0.0979439412919179,-22.3312186145573,233,-0.144597428421628,-32.9682136801311,8.92105263157895,-0.266915976516078,-0.237326377307777,13,142.918454935622,25.6153846153846
"23","Mayank Dagar",-0.301760509388018,-19.9161936196092,66,-0.169438378238192,-11.1829329637207,7.54545454545455,0.952511014016615,1.46385183011784,1,125.757575757576,83
"24","JC Archer",-0.161720756072783,-19.4064907287339,129,-0.0877356285609703,-10.5282754273164,9.5,1.17326135528347,1.65267420114622,2,137.209302325581,88.5
"25","I Sharma",-0.125499958547052,-18.8249937820578,157,-0.0724932231958968,-10.8739834793845,8.24,-0.344970706593101,-0.372673273448468,10,125.477707006369,19.7
"26","Akash Madhwal",-0.11735437894903,-17.9552199792016,160,-0.191262378465692,-29.2631439052509,8.58823529411765,-0.57270604630703,-0.506773340174279,15,132.5,14.1333333333333
"27","A Zampa",-0.104620792386872,-13.8099445950671,133,-0.0361294626576255,-4.76908907080657,8.54545454545454,-0.438209861092709,-0.314146767321437,8,139.84962406015,23.25
"28","Ravi Bishnoi",-0.0449821540989119,-13.6295926919703,312,-0.0125920855977639,-3.81540193612245,7.74257425742574,-0.228983259823359,-0.121400812922403,16,122.435897435897,23.875
"29","A Nortje",-0.0409277537759125,-9.822660906219,251,-0.0780355979758573,-18.7285435142058,9.1,0.0893298528475946,0.207714687351406,10,140.637450199203,35.3
"30","PWH de Silva",-0.0542208901308303,-9.43443488276448,175,0.00582593166396587,1.01371210953006,8.89655172413793,-0.101580431024466,-0.151239486907112,9,146.285714285714,28.4444444444444
"31","RJW Topley",-0.650872944808461,-7.81047533770154,12,-0.424413357073955,-5.09296028488746,7,-0.711564535385035,-0.69176910165392,1,116.666666666667,14
"32","Naveen-ul-Haq",-0.0433220056840768,-7.2780969549249,175,-0.146391257590043,-24.5937312751273,7.82142857142857,-0.267343759558632,-0.227466950684913,11,121.142857142857,19.2727272727273
"33","Fazalhaq Farooqi",-0.0893888968283894,-7.15111174627115,86,0.00955973998916617,0.764779199133294,8.775,-0.214749030403679,-0.0669162486268281,4,129.06976744186,27.75
"34","Harshit Rana",-0.0665928624399957,-6.79247196887956,108,-0.012038529183692,-1.22792997673658,8.64705882352941,-0.198792285366563,-0.11077330759963,5,130.555555555556,28.2
"35","JR Hazlewood",-0.123378255582412,-6.66242580145025,57,-0.0685772232666975,-3.70317005640166,8.44444444444444,-0.1505538728842,-0.240948606572558,3,128.070175438596,24.3333333333333
"36","J Yadav",-0.245456041220146,-5.89094498928351,24,-0.140898861694042,-3.38157268065702,6.5,-0.153638908369045,0.00824827739951157,0,108.333333333333,26
"37","GD Phillips",-0.243079909511565,-4.37543837120816,18,-0.215269859794856,-3.87485747630741,6.66666666666667,-0.5744853391152,-0.488496823626449,1,111.111111111111,20
"38","T Stubbs",-0.328370411534423,-3.94044493841308,12,-0.219253350053795,-2.63104020064553,7,-0.587932737799342,-0.458688833466476,1,116.666666666667,14
"39","K Yadav",-0.0747792101473329,-3.14072682618798,42,0.137713494382064,5.78396676404669,9.71428571428571,-0.0147210019555501,0.0586927825448468,2,161.904761904762,34
"40","A Mishra",-0.0267354991760562,-3.0478469060704,115,-0.00255557651092616,-0.291335722245582,7.84210526315789,-0.257711338192105,-0.199195684227817,7,128.695652173913,21.1428571428571
"41","P Dubey",-0.168261729107369,-3.02871112393264,19,-0.265341377246064,-4.77614479042915,6.33333333333333,-0.16397826773266,-0.319644424857143,1,94.7368421052632,18
"42","K Gowtham",-0.0297350240081092,-2.85456230477848,100,-0.0603002244295382,-5.78882154523567,7.375,0.212441174138398,0.340552974668188,3,114,38
"43","B Kumar",-0.00833948269267813,-2.55188170395951,319,-0.026384468486991,-8.07364735701923,8.33333333333333,-0.158276323526103,-0.0455156078449832,16,127.899686520376,25.5
"44","JE Root",-0.169425415889841,-2.03310499067809,12,-0.189620864040395,-2.27545036848475,7,-0.543908383698303,-0.585222314274635,0,116.666666666667,14
"45","MW Short",-0.0791827990901891,-1.90038717816454,25,-0.0313059482461348,-0.751342757907235,6.25,-0.196460690866904,-0.0647507315914156,0,96,24
"46","A Badoni",-1.87937801946611,-1.87937801946611,1,-1.57724600142042,-1.57724600142042,0,-1,-1,0,0,0
"47","M Pathirana",-0.00675514016634033,-1.87792896624261,310,-0.200875181625089,-55.8433004917748,8.00719424460432,-0.278085178851533,-0.194372169667554,19,106.129032258065,17.3157894736842
